hash,family,seed,result,time,conflicts,decisions,propagations,returncode,maquina
bf701b504bdefc046b637fdaf8ea065c,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
bf701b504bdefc046b637fdaf8ea065c,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
c26ca353bf47730b0e5c545a6c927a85,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
c26ca353bf47730b0e5c545a6c927a85,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
c26ca353bf47730b0e5c545a6c927a85,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
c41c74f316a2067cc19708ce982d960a,argumentation,42,UNSAT,217.775,1494437.000,1954558.000,199993550.000,20,pc1
c41c74f316a2067cc19708ce982d960a,argumentation,123,UNSAT,217.002,1460277.000,1909453.000,195995063.000,20,pc1
c41c74f316a2067cc19708ce982d960a,argumentation,777,UNSAT,220.011,1456034.000,1903036.000,197951449.000,20,pc1
ca8f36f9c54cb7f5d070abeaeec489fe,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
ca8f36f9c54cb7f5d070abeaeec489fe,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
ca8f36f9c54cb7f5d070abeaeec489fe,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
cfc5b08fa24149afb9a67426dbe871e9,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
cfc5b08fa24149afb9a67426dbe871e9,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
cfc5b08fa24149afb9a67426dbe871e9,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
d5f6b2092795aad67d1df1fd3a329552,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
d5f6b2092795aad67d1df1fd3a329552,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
d5f6b2092795aad67d1df1fd3a329552,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
d7f2e4ec8e631387c928c79e1054c663,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
d7f2e4ec8e631387c928c79e1054c663,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
d7f2e4ec8e631387c928c79e1054c663,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
db099269d468029b70419bf4a49e99a1,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
db099269d468029b70419bf4a49e99a1,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
db099269d468029b70419bf4a49e99a1,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
db1905e1d74befc396c4ced0a26a4742,argumentation,42,SAT,26.653,289387.000,395097.000,27545547.000,10,pc1
db1905e1d74befc396c4ced0a26a4742,argumentation,123,SAT,431.449,3145257.000,4005276.000,244966330.000,10,pc1
db1905e1d74befc396c4ced0a26a4742,argumentation,777,SAT,49.890,508084.000,665126.000,44826668.000,10,pc1
db4a0d4ba26c46d66ad6cdcb0645a4d9,argumentation,42,UNSAT,687.143,4425171.000,5520182.000,345961959.000,20,pc1
db4a0d4ba26c46d66ad6cdcb0645a4d9,argumentation,123,UNSAT,793.352,5046497.000,6277673.000,391456411.000,20,pc1
db4a0d4ba26c46d66ad6cdcb0645a4d9,argumentation,777,UNSAT,762.543,4688237.000,5852180.000,362037830.000,20,pc1
df5854c32714147e085ec209b8c0f5ac,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
df5854c32714147e085ec209b8c0f5ac,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
df5854c32714147e085ec209b8c0f5ac,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
e27e439d19bd1d246b7a669feb2d5e7e,argumentation,42,SAT,104.937,830238.000,1062404.000,76873063.000,10,pc1
e27e439d19bd1d246b7a669feb2d5e7e,argumentation,123,SAT,520.792,3883296.000,4795073.000,315879434.000,10,pc1
e27e439d19bd1d246b7a669feb2d5e7e,argumentation,777,SAT,518.993,3481512.000,4303998.000,287769517.000,10,pc1
e3920fc15989f1d914b4210a7864eecf,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
e3920fc15989f1d914b4210a7864eecf,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
