instance,family,build,exit,secs,clauses_in,clauses_out,proof_bytes,out_sha1
2b8cac8e1f5cad04696004e7fbf5cf2e.cnf.xz,N,cliques,0,1.268,242594,242595,980,9eb9314dde87ad4fbe923888851ca88dd8c3365c
4f09ef861ee74e50dc101765e1ce27fb.cnf.xz,N,mit,0,0.016,11109,10640,7594,6b17bdf9bf74bd132d89357c0ce16ae74806121b
4f09ef861ee74e50dc101765e1ce27fb.cnf.xz,N,mclique,0,0.016,11109,10640,7594,6b17bdf9bf74bd132d89357c0ce16ae74806121b
4f09ef861ee74e50dc101765e1ce27fb.cnf.xz,N,cliques,0,0.016,11109,10640,7594,6b17bdf9bf74bd132d89357c0ce16ae74806121b
543e67dd5abc272c37775b1b742a1d9a.cnf.xz,N,mit,0,1.218,542447,542447,0,790de9682b2bc86ec4626db0ff88ddfab81e66cb
543e67dd5abc272c37775b1b742a1d9a.cnf.xz,N,mclique,0,0.767,542447,542447,0,790de9682b2bc86ec4626db0ff88ddfab81e66cb
543e67dd5abc272c37775b1b742a1d9a.cnf.xz,N,cliques,0,0.717,542447,542447,0,790de9682b2bc86ec4626db0ff88ddfab81e66cb
5de866bc7ff4dfde3cd682b5aca75894.cnf.xz,N,mit,0,0.032,30726,25676,28331,1abb8f4627923af6003d4c1d19eeb3398d6c2e20
5de866bc7ff4dfde3cd682b5aca75894.cnf.xz,N,mclique,0,0.016,30726,25676,28331,1abb8f4627923af6003d4c1d19eeb3398d6c2e20
5de866bc7ff4dfde3cd682b5aca75894.cnf.xz,N,cliques,0,0.016,30726,25676,28331,1abb8f4627923af6003d4c1d19eeb3398d6c2e20
74931e82fd208ed949fa44bccd80df6b.cnf.xz,N,mit,0,5.334,855716,855716,0,795344f1f721c9714d206b7fc6fe0de1d5b9983e
74931e82fd208ed949fa44bccd80df6b.cnf.xz,N,mclique,0,4.030,855716,855716,0,795344f1f721c9714d206b7fc6fe0de1d5b9983e
74931e82fd208ed949fa44bccd80df6b.cnf.xz,N,cliques,0,4.535,855716,855716,0,795344f1f721c9714d206b7fc6fe0de1d5b9983e
8d0d8518a438d93428257d9a38863c3c.cnf.xz,N,mit,0,0.415,122177,97085,406439,d010d74aace5704e7ccc4f20c22b807f18fef979
8d0d8518a438d93428257d9a38863c3c.cnf.xz,N,mclique,0,0.365,122177,97085,406439,d010d74aace5704e7ccc4f20c22b807f18fef979
8d0d8518a438d93428257d9a38863c3c.cnf.xz,N,cliques,0,0.365,122177,97085,406439,d010d74aace5704e7ccc4f20c22b807f18fef979
91860f79f079fede859034c7d76a98a2.cnf.xz,N,mit,0,39.123,697937,698594,14273373,06abfc0fb0ba7fcafbcf54b13a25e764b9d67e74
91860f79f079fede859034c7d76a98a2.cnf.xz,N,mclique,0,40.224,697937,698594,14273373,06abfc0fb0ba7fcafbcf54b13a25e764b9d67e74
91860f79f079fede859034c7d76a98a2.cnf.xz,N,cliques,0,38.462,697937,698594,14273373,06abfc0fb0ba7fcafbcf54b13a25e764b9d67e74
920bbe559da4ea37fd636605316a791c.cnf.xz,N,mit,0,0.032,15526,15526,0,ca045c70f06bddf95ee312d9165946fd501e9734
920bbe559da4ea37fd636605316a791c.cnf.xz,N,mclique,0,0.032,15526,15526,0,ca045c70f06bddf95ee312d9165946fd501e9734
920bbe559da4ea37fd636605316a791c.cnf.xz,N,cliques,0,0.032,15526,15526,0,ca045c70f06bddf95ee312d9165946fd501e9734
a20f076f7fce54172e823c63ea7948f7.cnf.xz,N,mit,0,0.164,16640,16577,2587,f02be468ca4e4aef934838427e782c86c8f30fda
a20f076f7fce54172e823c63ea7948f7.cnf.xz,N,mclique,0,0.164,16640,16577,2587,f02be468ca4e4aef934838427e782c86c8f30fda
a20f076f7fce54172e823c63ea7948f7.cnf.xz,N,cliques,0,0.164,16640,16577,2587,f02be468ca4e4aef934838427e782c86c8f30fda
ae48df6541d190c096b1e5ba22d1b534.cnf.xz,N,mit,0,0.114,89966,89934,192,588f9be7bdfe5fcae97889f8ef8f769d5cb7dc07
